,Performance Index
0,54.71
1,22.62
2,47.9
3,31.29
4,43.0
5,59.07
6,45.9
7,86.46
8,37.7
9,72.06
10,63.56
11,24.9
12,60.78
13,44.0
14,49.01
15,44.64
16,58.02
17,79.01
18,65.73
19,46.65
20,62.46
21,15.43
22,38.38
23,76.8
24,84.07
25,31.05
26,28.62
27,88.87
28,51.1
29,56.3
30,60.13
31,33.87
32,38.63
33,49.91
34,34.69
35,63.65
36,49.92
37,46.6
38,76.28
39,78.8
40,80.68
41,76.1
42,68.21
43,93.59
44,70.33
45,63.87
46,74.47
47,69.55
48,75.32
49,42.23
50,71.34
51,57.53
52,72.86
53,83.33
54,73.79
55,90.13
56,73.97
57,87.87
58,73.85
59,60.37
60,37.19
61,35.62
62,15.96
63,81.93
64,84.82
65,36.16
66,29.81
67,67.73
68,37.47
69,72.17
70,61.18
71,91.46
72,88.29
73,92.0
74,70.75
75,39.53
76,65.54
77,43.75
78,45.74
79,75.18
80,64.7
81,61.42
82,64.46
83,49.96
84,59.85
85,36.1
86,28.18
87,81.7
88,66.36
89,26.9
90,20.65
91,23.56
92,31.23
93,75.34
94,96.61
95,79.73
96,63.63
97,87.9
98,86.64
99,60.86
100,82.42
101,28.53
102,36.43
103,55.2
104,19.72
105,72.61
106,48.89
107,79.58
108,74.44
109,39.1
110,48.83
111,22.8
112,36.93
113,26.55
114,26.58
115,26.23
116,52.05
117,25.11
118,23.59
119,52.14
120,37.68
121,76.17
122,87.75
123,49.31
124,49.35
125,60.65
126,53.88
127,69.64
128,73.85
129,56.91
130,63.89
131,52.76
132,67.29
133,66.44
134,21.89
135,90.62
136,56.56
137,37.14
138,39.75
139,15.98
140,43.37
141,13.11
142,39.82
143,49.25
144,59.13
145,43.12
146,39.39
147,65.7
148,17.96
149,29.63
150,42.91
151,43.97
152,76.14
153,44.55
154,67.75
155,19.85
156,32.64
157,35.89
158,49.3
159,18.37
160,74.96
161,33.03
162,68.44
163,29.0
164,42.05
165,80.28
166,73.13
167,16.95
168,53.08
169,56.15
170,48.65
171,67.27
172,50.42
173,59.35
174,82.31
175,35.89
176,42.85
177,77.5
178,56.83
179,54.58
180,41.35
181,41.7
182,57.98
183,34.84
184,56.42
185,48.45
186,76.94
187,46.84
188,38.0
189,64.68
190,65.57
191,81.45
192,71.71
193,92.0
194,41.62
195,72.47
196,32.61
197,21.57
198,45.31
199,81.4
200,35.77
201,64.48
202,74.7
203,43.11
204,92.32
205,39.66
206,31.91
207,74.07
208,35.37
209,90.17
210,58.3
211,27.33
212,22.65
213,31.66
214,21.68
215,70.87
216,13.72
217,19.89
218,19.46
219,45.89
220,47.11
221,46.45
222,78.62
223,25.65
224,22.6
225,47.82
226,24.73
227,41.76
228,58.45
229,71.25
230,81.45
231,61.95
232,35.64
233,82.58
234,80.96
235,66.48
236,65.23
237,18.57
238,63.04
239,36.54
240,37.82
241,62.19
242,48.06
243,73.06
244,70.75
245,70.86
246,57.63
247,45.28
248,40.45
249,76.91
250,40.1
251,59.95
252,68.98
253,76.92
254,75.68
255,80.14
256,65.78
257,64.32
258,55.73
259,60.35
260,36.21
261,55.03
262,47.2
263,33.88
264,14.13
265,71.21
266,42.17
267,23.42
268,48.6
269,77.27
270,20.67
271,62.5
272,75.55
273,40.94
274,69.59
275,58.95
276,57.43
277,41.43
278,84.0
279,42.78
280,33.22
281,56.13
282,52.98
283,27.22
284,39.42
285,69.71
286,48.31
287,60.0
288,55.05
289,48.81
290,65.98
291,70.5
292,68.35
293,34.8
294,37.87
295,36.75
296,73.67
297,77.29
298,68.95
299,68.48
300,36.04
301,74.3
302,18.91
303,50.92
304,49.83
305,47.5
306,24.73
307,30.64
308,62.15
309,78.0
310,54.99
311,36.19
312,19.39
313,41.57
314,47.7
315,35.78
316,56.99
317,83.12
318,44.34
319,55.26
320,87.22
321,14.99
322,58.5
323,28.38
324,49.18
325,26.91
326,59.92
327,47.35
328,72.9
329,50.53
330,49.92
331,83.52
332,84.09
333,93.28
334,36.64
335,54.69
336,55.92
337,55.79
338,63.01
339,80.2
340,74.09
341,43.66
342,64.68
343,60.33
344,49.14
345,65.71
346,57.91
347,75.98
348,57.7
349,44.11
350,74.24
351,22.49
352,37.74
353,64.31
354,74.96
355,45.16
356,46.08
357,54.58
358,51.31
359,79.96
360,57.78
361,45.5
362,68.25
363,63.96
364,37.89
365,53.35
366,68.57
367,29.54
368,59.41
369,70.59
370,69.71
371,35.59
372,83.58
373,45.4
374,76.56
375,61.53
376,42.19
377,84.14
378,24.65
379,31.44
380,53.24
381,53.99
382,39.66
383,39.12
384,55.67
385,79.11
386,72.74
387,64.15
388,81.32
389,55.59
390,51.9
391,71.68
392,59.49
393,58.64
394,77.23
395,77.18
396,37.76
397,22.27
398,41.15
399,65.56
400,70.86
401,59.69
402,71.12
403,27.25
404,19.05
405,65.68
406,47.81
407,76.68
408,69.99
409,38.52
410,89.59
411,58.33
412,82.68
413,56.21
414,35.39
415,42.72
416,49.99
417,42.8
418,31.44
419,74.59
420,71.88
421,36.27
422,39.5
423,32.31
424,46.99
425,57.67
426,49.11
427,30.13
428,53.81
429,73.62
430,66.61
431,60.18
432,29.44
433,63.65
434,41.46
435,49.38
436,55.35
437,35.93
438,55.65
439,34.66
440,56.71
441,67.78
442,86.5
443,86.32
444,81.57
445,47.01
446,33.89
447,51.54
448,38.24
449,14.37
450,55.81
451,26.62
452,62.56
453,42.42
454,15.66
455,57.58
456,40.91
457,22.82
458,90.63
459,61.97
460,40.69
461,74.58
462,81.29
463,89.27
464,85.29
465,37.37
466,93.24
467,40.13
468,32.78
469,87.2
470,75.45
471,15.76
472,80.96
473,26.98
474,63.32
475,62.41
476,40.55
477,71.36
478,66.25
479,74.47
480,37.58
481,36.6
482,25.14
483,66.3
484,55.81
485,27.49
486,60.86
487,44.44
488,39.75
489,70.62
490,55.25
491,45.08
492,24.57
493,38.81
494,34.45
495,34.87
496,68.47
497,47.51
498,52.96
499,44.57
500,50.05
501,50.73
502,27.61
503,26.76
504,63.9
505,81.19
506,47.3
507,14.54
508,86.64
509,48.74
510,50.85
511,71.56
512,38.18
513,64.83
514,72.88
515,38.16
516,41.62
517,50.74
518,41.78
519,29.23
520,72.25
521,43.53
522,64.41
523,59.8
524,63.74
525,71.84
526,41.95
527,78.41
528,43.9
529,43.99
530,72.44
531,63.71
532,44.34
533,77.5
534,20.22
535,68.55
536,33.77
537,48.35
538,71.54
539,29.89
540,49.7
541,55.34
542,52.5
543,33.7
544,87.77
545,44.16
546,85.45
547,40.52
548,39.32
549,29.13
550,64.03
551,48.37
552,74.9
553,73.16
554,56.18
555,51.63
556,34.78
557,50.77
558,82.6
559,46.49
560,57.2
561,68.47
562,74.59
563,71.73
564,76.72
565,33.88
566,44.54
567,78.33
568,18.43
569,40.87
570,64.9
571,58.44
572,76.21
573,85.24
574,37.09
575,40.75
576,81.41
577,38.47
578,34.45
579,65.85
580,54.07
581,48.45
582,50.55
583,35.2
584,62.16
585,49.75
586,63.18
587,25.73
588,76.39
589,89.84
590,77.64
591,65.85
592,84.77
593,56.37
594,25.19
595,68.89
596,74.35
597,91.82
598,50.72
599,69.58
600,53.17
601,35.82
602,41.11
603,27.97
604,71.77
605,62.98
606,28.54
607,36.93
608,72.97
609,84.08
610,85.0
611,59.27
612,85.83
613,32.64
614,92.69
615,45.86
616,94.13
617,41.91
618,59.84
619,48.81
620,79.86
621,78.6
622,53.49
623,34.32
624,77.65
625,81.42
626,48.4
627,84.54
628,43.96
629,48.0
630,36.14
631,41.67
632,41.82
633,56.96
634,68.77
635,72.62
636,33.2
637,55.86
638,32.87
639,72.37
640,52.94
641,90.74
642,72.43
643,73.22
644,58.59
645,54.66
646,86.97
647,50.83
648,51.63
649,57.56
650,36.26
651,33.52
652,56.1
653,31.82
654,50.37
655,51.89
656,46.16
657,47.93
658,81.17
659,66.46
660,74.2
661,48.04
662,49.97
663,49.73
664,45.95
665,36.96
666,46.11
667,34.26
668,52.24
669,70.02
670,24.19
671,55.15
672,88.59
673,87.39
674,81.48
675,54.96
676,67.6
677,49.19
678,50.48
679,59.3
680,48.86
681,62.85
682,49.71
683,19.57
684,45.67
685,25.22
686,23.97
687,57.18
688,47.91
689,84.76
690,39.32
691,73.32
692,88.93
693,73.59
694,44.7
695,58.94
696,85.6
697,58.49
698,41.78
699,71.74
700,46.67
701,56.14
702,91.33
703,48.86
704,41.42
705,74.42
706,52.6
707,41.29
708,62.43
709,58.38
710,46.28
711,81.79
712,88.7
713,41.88
714,74.47
715,57.44
716,56.86
717,46.44
718,76.77
719,44.68
720,38.61
721,58.21
722,68.48
723,23.63
724,52.71
725,92.91
726,46.66
727,94.25
728,53.77
729,54.72
730,60.23
731,42.01
732,64.61
733,86.5
734,84.05
735,33.49
