,Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced
9254,5,49,0,7,5
1561,2,48,1,7,6
1670,2,81,0,7,2
6087,2,46,0,6,1
6669,8,47,0,9,0
5933,3,56,0,4,4
8829,3,51,1,4,1
7945,9,93,1,5,2
3508,4,61,1,6,5
2002,4,96,1,8,0
5866,9,71,0,4,6
168,5,49,0,6,5
2588,4,61,1,8,9
5905,6,82,0,5,8
9529,2,97,0,5,8
6384,2,47,1,9,3
7824,1,84,1,8,4
9779,4,65,1,8,7
4629,8,40,0,4,0
8560,9,69,0,9,9
9291,9,40,0,6,5
6874,5,52,1,6,5
6521,6,44,1,8,0
8979,4,48,0,7,0
6647,3,40,0,8,8
9825,5,81,1,5,9
210,2,61,1,6,6
5278,9,50,1,6,2
1919,6,92,1,6,1
718,4,64,0,7,0
4868,4,68,1,5,3
7834,1,84,0,5,6
1298,1,99,0,7,3
9193,6,69,1,6,5
4617,2,57,0,6,3
3128,4,48,0,4,4
9795,9,65,0,7,4
3979,5,61,0,6,7
9924,5,82,0,9,5
8317,7,95,1,6,3
4393,8,69,0,9,6
1287,9,82,0,8,4
4355,6,61,1,5,1
7013,1,47,1,9,3
3885,6,43,0,7,1
5749,6,59,1,4,8
9169,3,82,0,9,2
2407,1,87,1,9,4
2013,6,53,0,5,6
5153,2,84,0,6,8
8551,3,87,1,4,4
4376,2,50,1,8,7
8822,6,46,0,4,2
4273,8,47,1,5,9
5825,6,50,0,5,3
6699,2,59,1,6,5
7243,2,60,0,7,9
449,4,40,1,6,5
2227,4,72,1,5,3
5756,1,45,1,7,1
810,3,78,0,5,6
4180,8,76,1,8,9
9000,1,57,1,8,0
5438,3,41,1,4,1
7533,1,93,0,7,3
6369,9,54,0,9,8
8416,8,85,0,5,1
1477,7,61,1,6,8
1790,2,50,1,9,5
2008,2,68,0,5,9
682,9,60,0,9,1
2816,8,67,0,4,1
9431,6,47,0,4,9
3774,9,74,0,5,5
6495,3,41,1,5,5
8878,7,63,0,4,6
7361,5,40,1,4,8
8366,4,98,0,8,5
7474,6,44,0,9,0
46,1,43,1,7,0
30,3,61,1,7,3
8250,1,75,0,8,8
6935,9,93,0,8,6
1468,6,55,0,6,0
1665,4,53,0,9,8
1416,6,89,0,8,0
6480,4,65,0,5,9
4852,3,97,0,7,5
2470,3,57,1,7,8
4373,8,45,0,5,6
8524,5,51,1,6,4
429,9,88,1,5,4
5244,3,67,1,9,5
2119,6,94,1,7,3
385,2,67,0,7,8
1945,2,58,0,9,2
4224,4,56,1,4,7
473,7,48,1,9,9
2129,8,73,0,4,1
6556,9,87,0,8,7
6998,2,57,0,6,7
1055,1,92,0,4,6
3274,5,85,0,8,5
4961,2,68,0,6,4
5363,7,47,0,4,4
5816,8,41,1,8,1
811,3,58,1,6,1
4573,1,66,0,8,2
6137,8,44,1,9,4
2388,9,87,1,4,5
9648,9,98,0,5,9
6225,4,41,1,5,7
111,4,56,1,8,3
8909,4,46,1,7,0
1745,7,85,0,9,3
7851,9,52,1,5,0
1452,9,75,1,6,7
319,2,45,1,4,5
8593,7,85,0,8,5
3333,4,99,0,8,4
1922,3,73,1,6,3
5865,2,85,1,4,7
9528,4,93,0,7,9
3685,7,53,0,6,6
4275,5,67,0,9,9
4889,7,40,0,6,1
5225,6,46,0,6,2
7472,3,83,1,6,4
3605,6,86,0,9,5
1052,1,46,1,6,4
4156,9,73,0,7,8
9676,2,79,1,5,3
99,1,49,1,9,4
7508,4,41,0,7,0
1456,7,79,1,4,2
7688,4,61,0,9,3
4004,5,84,1,4,7
6866,1,90,0,9,9
4509,4,70,1,9,1
3299,8,68,0,8,7
3799,4,84,0,4,6
4281,5,44,0,6,4
9051,1,83,1,6,9
6462,2,73,0,7,1
7912,8,46,0,7,1
1414,4,46,0,8,5
540,8,45,1,6,4
5815,4,97,0,5,7
8199,1,47,0,5,5
3680,6,58,1,6,8
754,4,72,0,8,2
4196,8,83,1,6,6
2650,8,97,0,9,6
4522,2,85,0,5,0
9519,5,42,0,4,0
3118,8,85,0,7,2
3728,7,81,1,4,7
3886,8,70,0,5,5
7107,6,81,1,5,3
8068,8,95,1,6,2
7325,7,97,1,5,9
8483,9,78,0,8,8
8767,5,93,1,8,6
6500,9,40,0,9,3
8426,8,92,1,7,8
7963,4,69,0,7,0
601,3,66,0,9,7
9249,8,86,1,7,4
8919,3,65,1,9,9
6814,2,76,0,6,1
5411,9,67,1,9,4
8747,6,41,0,5,1
5522,9,40,1,4,4
1044,5,52,1,8,0
7334,3,84,0,8,3
1557,6,49,1,7,5
3739,9,79,1,7,3
3522,1,50,0,4,9
180,6,73,0,8,7
2115,8,52,0,9,0
1699,5,87,1,9,5
1379,1,48,1,6,7
7229,9,44,0,4,0
9143,2,87,0,9,5
618,1,64,1,9,9
3181,9,94,1,7,5
9851,5,94,0,5,6
1600,5,92,1,5,4
5963,4,50,1,9,3
1615,8,80,0,8,7
5920,4,48,1,7,8
9591,7,87,0,7,8
3891,3,44,1,9,5
2083,4,84,1,9,2
4574,1,70,1,8,9
5594,2,67,1,7,9
5121,5,99,0,4,7
4587,6,42,0,9,5
4902,5,59,1,9,0
8252,9,74,0,8,5
5916,4,61,0,8,5
5129,9,54,1,6,7
8334,4,97,0,4,1
1918,1,95,1,6,0
8330,3,52,0,4,3
5707,1,51,1,8,7
5384,1,72,0,6,4
6336,8,57,0,6,6
2054,8,95,1,9,5
7612,9,42,1,6,3
9209,1,67,0,8,0
3963,4,72,0,6,5
1126,9,41,0,8,5
3428,4,72,1,7,0
4601,6,55,1,4,4
3721,1,58,1,8,4
2389,4,60,0,8,1
1322,7,54,1,6,4
1603,1,75,1,9,5
7224,5,68,1,4,8
7425,8,55,0,6,3
4336,6,77,1,4,2
5593,4,82,0,9,8
4411,4,87,0,7,3
5858,3,92,0,8,0
9343,9,83,1,6,9
3991,3,73,1,9,6
6079,4,86,0,8,4
1559,9,56,1,5,7
4682,9,63,1,5,9
7557,8,52,0,8,8
3772,4,88,1,7,6
8779,9,79,0,7,7
3457,9,58,1,5,2
8383,1,51,0,7,3
1354,6,46,0,6,2
45,3,76,1,4,3
9872,8,96,1,4,1
748,9,77,1,8,4
7917,4,73,0,8,6
4241,5,70,1,8,2
5628,6,66,1,4,9
4657,6,47,0,9,8
4238,3,81,1,4,8
3460,8,56,1,6,7
7381,9,46,0,4,4
5549,7,62,0,8,8
7075,7,84,1,7,3
5838,9,72,1,8,0
8091,4,89,1,5,2
5474,9,78,0,4,8
3614,4,79,0,7,6
7501,6,68,1,7,6
7053,7,43,1,9,2
7367,9,87,1,8,8
8019,7,91,1,4,9
9638,9,46,1,7,9
9055,3,71,0,6,6
664,3,96,0,9,2
2319,4,74,1,5,5
3542,4,86,0,4,2
3677,7,44,0,9,9
9599,7,81,1,4,5
3091,7,70,0,9,6
675,1,75,0,8,4
8676,6,85,0,4,0
4884,8,55,0,6,1
8079,9,41,1,6,8
1962,1,85,1,6,3
1840,5,71,0,4,7
7168,7,47,0,5,3
9898,8,72,1,7,2
3538,2,71,1,4,7
8026,9,58,0,6,5
4866,5,94,1,4,5
4174,6,45,1,8,3
8088,7,56,0,9,8
4377,1,86,1,5,4
6211,4,64,1,8,4
4766,6,78,1,5,6
411,3,41,1,5,6
613,2,65,1,9,4
6126,2,88,0,5,2
5210,6,48,1,4,0
1430,6,57,1,7,3
2425,7,41,1,7,3
8841,7,43,0,8,0
3833,1,49,0,7,2
4718,6,64,0,7,1
7185,5,75,1,8,1
1417,9,70,0,6,5
7199,7,76,1,6,8
604,1,99,1,9,3
1272,8,54,0,5,3
3964,8,45,1,4,7
6367,9,76,0,5,9
8746,7,57,1,6,2
247,5,92,0,7,2
9226,1,71,0,8,9
1982,5,62,1,6,1
2835,6,98,1,8,6
5375,8,48,0,7,7
199,8,93,0,7,2
485,2,44,1,6,4
6083,9,49,0,8,9
8956,7,98,0,7,9
455,9,44,0,5,1
9798,9,80,0,7,3
8826,3,63,1,8,6
6515,9,80,0,7,8
1721,5,54,1,8,5
7050,9,45,1,8,8
6382,2,41,0,8,2
8165,6,75,1,4,0
5767,7,73,1,8,7
5809,7,40,1,7,1
4626,5,58,0,9,0
862,7,42,1,8,9
2094,9,47,1,7,2
947,1,96,0,7,1
5641,6,52,1,9,9
1444,4,89,0,4,8
1280,3,47,1,4,7
3110,7,47,0,8,7
8952,3,85,1,4,3
7609,2,60,1,8,7
5135,5,89,1,8,2
3016,4,77,0,4,9
2302,5,43,1,7,0
2004,5,69,1,9,3
4580,4,94,1,4,2
8704,9,92,0,7,6
1005,5,43,1,6,8
5138,4,56,0,6,9
4317,1,87,1,7,8
6558,2,88,0,4,3
4387,6,64,0,4,9
2132,1,44,1,8,3
4265,6,94,0,4,9
2057,3,60,1,8,8
5386,8,99,1,4,3
229,4,82,1,8,4
2889,7,69,0,7,0
4472,6,75,0,4,2
6064,1,88,1,7,4
7924,5,54,0,5,3
7649,6,75,0,6,5
8381,1,51,1,5,9
209,1,60,1,7,4
2758,8,60,0,5,9
8471,5,48,1,5,5
2948,6,82,1,9,8
7116,8,65,0,5,3
6330,6,42,0,9,5
1728,1,99,0,7,3
4176,6,67,0,5,4
337,4,99,1,8,5
4984,8,78,1,5,5
6878,6,90,0,7,9
7248,8,53,1,9,8
8452,3,96,0,4,6
1226,5,45,0,5,6
7608,8,40,0,8,6
6827,1,67,1,8,7
3540,1,50,0,4,6
5868,9,75,1,4,7
2111,2,90,0,6,0
2691,5,98,1,4,6
7153,6,74,1,4,2
3707,6,84,1,7,7
1017,6,62,1,5,3
8511,9,47,0,8,8
2807,2,84,0,4,1
5015,8,92,1,8,8
1928,8,69,0,7,1
350,5,83,0,5,0
5173,4,73,1,8,0
4192,7,60,0,8,8
1934,4,81,0,7,5
6901,3,43,0,6,2
4823,8,92,1,4,5
564,8,42,1,9,8
1582,5,74,1,6,5
4694,8,49,1,9,8
2175,4,64,1,9,8
7028,2,73,1,8,2
4880,2,97,0,6,7
2228,4,85,0,7,5
1115,4,86,0,6,1
3126,2,46,1,9,9
3544,1,94,0,5,1
5048,4,70,1,4,3
7476,6,95,1,8,4
821,5,86,1,4,7
6532,8,75,1,6,1
2272,8,75,0,6,6
5545,8,97,0,9,7
81,3,68,1,9,6
1323,5,41,0,7,2
9405,2,80,0,8,6
1614,7,59,0,9,1
831,3,79,1,9,5
3883,3,79,1,8,9
8641,1,64,0,7,2
4464,5,46,1,7,2
5339,6,84,1,7,7
8066,5,72,0,5,7
1649,5,53,1,7,3
4065,7,48,0,7,7
9665,5,56,0,8,5
3038,2,87,1,6,7
3320,6,61,0,7,4
7143,9,73,0,6,9
6889,8,87,0,5,3
5092,1,55,1,7,8
3720,6,57,1,9,1
2423,4,47,0,4,6
749,7,79,0,4,7
5271,2,92,1,5,3
2373,1,90,1,5,0
4693,6,60,1,6,2
9879,7,74,1,5,7
8370,9,87,1,9,9
7319,1,59,0,6,4
4368,3,82,1,5,9
6785,4,44,1,8,9
7401,1,60,0,7,0
1139,6,72,1,6,5
7631,6,54,1,8,1
2231,9,58,1,5,2
2164,5,78,1,9,2
5217,3,62,0,7,0
9444,2,68,1,5,4
9237,3,71,0,9,0
4561,2,40,1,4,8
1570,3,80,0,4,9
172,7,67,1,4,1
7163,6,88,1,6,7
2087,5,58,1,7,2
4667,7,78,0,8,5
4565,5,54,0,8,8
7089,8,57,1,6,0
6569,3,72,0,4,8
4783,4,50,0,5,7
2684,6,70,1,5,2
1832,1,48,0,6,8
8546,3,41,1,8,9
5065,7,69,0,8,5
9130,6,66,1,4,4
9355,5,41,1,6,7
4412,7,69,0,8,1
7207,8,58,0,8,1
9890,6,65,1,4,1
834,7,79,0,8,8
6821,7,77,0,5,3
3781,3,75,1,9,4
9012,1,85,1,9,1
7499,8,45,0,7,3
3424,8,76,0,7,2
65,5,88,0,5,2
2963,4,55,1,7,8
5669,2,65,0,5,1
8962,5,76,0,8,8
354,5,94,0,7,2
8171,4,92,1,4,0
4030,6,89,0,9,8
8534,1,99,0,8,1
3651,7,95,0,9,6
6739,8,89,1,4,6
3297,1,66,1,4,2
4127,9,63,0,4,8
8043,3,45,0,5,2
4767,9,67,0,4,5
472,5,40,1,7,8
3761,5,54,1,5,1
8617,1,58,0,5,2
3566,9,71,0,7,1
2760,3,83,1,6,3
868,1,92,1,6,8
9382,3,73,0,8,0
8688,2,66,0,4,2
4052,1,75,1,8,4
6130,3,68,1,8,9
3244,3,67,1,5,9
4842,2,88,0,8,8
9330,6,55,1,7,2
5640,3,69,0,6,2
5780,3,67,1,9,9
8540,1,92,1,4,9
1075,1,79,1,7,7
2957,2,57,0,6,0
6752,5,70,0,5,6
8657,9,89,0,7,2
7272,1,42,0,9,1
4759,5,53,0,4,4
4862,6,94,0,6,4
7025,2,56,0,6,2
7647,5,81,0,8,8
7161,4,72,0,5,3
73,8,62,1,4,2
4901,5,49,0,5,5
4375,7,88,1,4,9
6698,3,94,1,7,1
9805,9,54,1,5,9
1101,4,56,1,8,6
9537,3,72,1,8,6
7655,7,55,1,7,5
5235,7,57,1,9,9
5165,6,52,0,4,4
118,3,67,0,9,8
2022,2,71,0,8,8
9885,4,88,1,5,4
2638,1,78,0,4,6
2034,7,77,0,7,1
2564,5,47,1,8,3
8665,1,40,0,4,8
3543,7,78,0,6,2
1219,8,56,0,9,3
9714,5,52,0,5,6
6711,6,78,1,6,5
2903,4,76,0,7,2
3026,6,92,0,9,2
2510,1,85,0,5,5
4201,5,71,0,5,5
3207,1,59,0,9,6
4489,1,70,0,6,5
2755,1,87,0,9,3
8889,1,82,1,8,3
177,5,81,1,5,7
1643,8,53,0,7,5
9292,7,93,1,5,7
3518,6,68,1,4,5
1374,4,97,1,8,7
1720,4,90,0,8,3
3995,2,83,1,6,0
3688,8,90,1,7,3
2264,9,67,0,7,9
87,9,99,0,4,1
2848,3,50,0,7,0
8687,3,80,1,9,6
403,5,60,1,8,5
9900,5,53,1,7,7
4077,4,79,0,6,6
6835,8,54,1,9,5
6537,9,81,0,4,2
2456,2,59,1,7,6
2751,8,82,0,7,3
2214,4,52,0,4,1
1027,3,82,1,4,8
9703,2,85,1,8,5
1421,5,43,0,7,6
2436,9,54,1,5,7
4277,1,86,0,4,6
9609,5,98,1,6,3
1278,9,78,1,8,3
6220,7,43,1,7,2
4907,3,71,1,7,4
5064,3,93,1,6,2
1978,6,73,1,5,6
1061,9,44,1,7,3
5014,5,68,1,4,5
4535,4,73,1,7,8
6993,9,95,1,5,2
9253,5,50,0,5,5
1502,5,47,1,5,8
8568,5,76,1,4,9
9314,2,81,0,4,7
8836,7,60,1,5,5
8920,1,97,0,5,4
4918,5,94,1,4,0
678,2,52,0,5,5
5076,1,97,0,9,8
8064,3,63,1,9,9
7568,1,65,0,4,9
