,Performance Index
9254,36.0
1561,25.0
1670,59.0
6087,22.0
6669,40.0
5933,33.0
8829,30.0
7945,89.0
3508,46.0
2002,83.0
5866,63.0
168,33.0
2588,46.0
5905,69.0
9529,76.0
6384,25.0
7824,63.0
9779,48.0
4629,26.0
8560,64.0
9291,38.0
6874,36.0
6521,36.0
8979,27.0
6647,18.0
9825,66.0
210,37.0
5278,46.0
1919,80.0
718,45.0
4868,53.0
7834,61.0
1298,74.0
9193,60.0
4617,30.0
3128,31.0
9795,60.0
3979,48.0
9924,66.0
8317,89.0
4393,61.0
1287,80.0
4355,47.0
7013,21.0
3885,30.0
5749,45.0
9169,62.0
2407,64.0
2013,40.0
5153,61.0
8551,65.0
4376,23.0
8822,35.0
4273,43.0
5825,36.0
6699,40.0
7243,35.0
449,21.0
2227,56.0
5756,20.0
810,57.0
4180,69.0
9000,27.0
5438,15.0
7533,69.0
6369,51.0
8416,80.0
1477,54.0
1790,26.0
2008,45.0
682,61.0
2816,61.0
9431,33.0
3774,69.0
6495,24.0
8878,54.0
7361,24.0
8366,82.0
7474,33.0
46,17.0
30,39.0
8250,50.0
6935,93.0
1468,44.0
1665,40.0
1416,76.0
6480,49.0
4852,78.0
2470,38.0
4373,34.0
8524,36.0
429,85.0
5244,47.0
2119,83.0
385,45.0
1945,34.0
4224,39.0
473,44.0
2129,66.0
6556,82.0
6998,34.0
1055,61.0
3274,75.0
4961,45.0
5363,38.0
5816,35.0
811,41.0
4573,40.0
6137,35.0
2388,85.0
9648,93.0
6225,23.0
111,38.0
8909,30.0
1745,74.0
7851,49.0
1452,73.0
319,22.0
8593,76.0
3333,84.0
1922,53.0
5865,64.0
9528,78.0
3685,45.0
4275,54.0
4889,29.0
5225,33.0
7472,63.0
3605,76.0
1052,17.0
4156,68.0
9676,56.0
99,25.0
7508,23.0
1456,67.0
7688,44.0
4004,73.0
6866,65.0
4509,54.0
3299,67.0
3799,65.0
4281,29.0
9051,56.0
6462,48.0
7912,41.0
1414,30.0
540,41.0
5815,81.0
8199,21.0
3680,46.0
754,52.0
4196,78.0
2650,95.0
4522,61.0
9519,25.0
3118,78.0
3728,74.0
3886,59.0
7107,69.0
8068,87.0
7325,91.0
8483,79.0
8767,80.0
6500,38.0
8426,89.0
7963,50.0
601,48.0
9249,82.0
8919,43.0
6814,53.0
5411,64.0
8747,24.0
5522,35.0
1044,35.0
7334,64.0
1557,37.0
3739,78.0
3522,24.0
180,65.0
2115,45.0
1699,75.0
1379,25.0
7229,39.0
